"chrom","chromStart","chromEnd","optional1","optional2"
"chr1",0,249250621,0,0
"chr2",0,492449994,0,0
"chr3",0,690472424,0,0
"chr4",0,881626700,0,0
"chr5",0,1062541960,0,0
"chr6",0,1233657027,0,0
"chr7",0,1392795690,0,0
"chr8",0,1539159712,0,0
"chr9",0,1680373143,0,0
"chr10",0,1815907890,0,0
"chr11",0,1950914406,0,0
"chr12",0,2084766301,0,0
"chr13",0,2199936179,0,0
"chr14",0,2307285719,0,0
"chr15",0,2409817111,0,0
"chr16",0,2500171864,0,0
"chr17",0,2581367074,0,0
"chr18",0,2659444322,0,0
"chr19",0,2718573305,0,0
"chr20",0,2781598825,0,0
"chr21",0,2829728720,0,0
"chr22",0,2881033286,0,0
"chrX",0,3036303846,0,0
"chrY",0,3095677412,0,0
