"chrom","chromStart","chromEnd","optional1","optional2"
"chr1",0,247249719,0,0
"chr2",0,490200868,0,0
"chr3",0,689702695,0,0
"chr4",0,880975758,0,0
"chr5",0,1061833624,0,0
"chr6",0,1232733616,0,0
"chr7",0,1391555040,0,0
"chr8",0,1537829866,0,0
"chr9",0,1678103118,0,0
"chr10",0,1813477855,0,0
"chr11",0,1947930239,0,0
"chr12",0,2080279773,0,0
"chr13",0,2194422753,0,0
"chr14",0,2300791338,0,0
"chr15",0,2401130253,0,0
"chr16",0,2489957507,0,0
"chr17",0,2568732249,0,0
"chr18",0,2644849402,0,0
"chr19",0,2708661053,0,0
"chr20",0,2771097017,0,0
"chr21",0,2818041340,0,0
"chr22",0,2867732772,0,0
"chrX",0,3022646526,0,0
"chrY",0,3080419480,0,0
